ranking,name,age,weight,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Abu Azaitar,37,185,1.78,1,1,0,0,14,2,1,1
,Ian Heinisch,34,185,1.8,3,4,0,0,14,5,0,0
,Edmen Shahbazyan,25,185,1.88,5,4,0,0,12,4,0,0
,Anthony Hernandez,29,185,1.83,5,2,0,0,11,2,0,1
,Marc-Andre Barriault,33,185,1.85,5,5,0,0,16,6,0,0
,Wellington Turman,26,185,1.83,3,4,0,0,18,6,0,0
,Rodolfo Vieira,33,185,1.8,4,2,0,0,9,2,0,0
,Jun Yong Park,32,185,1.83,6,2,0,0,16,5,0,0
,Makhmud Muradov,33,185,1.88,3,2,0,0,25,8,0,0
13,Brendan Allen,27,185,1.88,8,3,0,0,20,6,0,0
,Roman Kopylov,32,185,1.83,2,2,0,0,10,2,0,0
15,Andre Muniz,33,185,1.88,6,1,0,0,23,5,0,0
,Punahele Soriano,30,185,1.83,3,3,0,0,9,3,0,0
9,Roman Dolidze,34,185,1.91,6,2,0,0,12,2,0,0
12,Nassourdine Imavov,28,185,1.91,4,2,0,0,12,4,0,0
,Dusko Todorovic,29,185,1.85,3,4,0,0,12,4,0,0
6,Dricus du Plessis,29,185,1.83,5,0,0,0,19,2,0,0
,Jacob Malkoun,27,185,1.85,3,2,0,0,7,2,0,0
,Phil Hawes,34,185,1.8,4,3,0,0,12,5,0,0
,Dustin Stoltzfus,31,185,1.8,1,4,0,0,14,5,0,0
,Jamie Pickett,34,185,1.88,2,5,0,0,13,9,0,0
,Gregory Rodrigues,31,185,1.91,4,2,0,0,13,5,0,0
,Bruno Silva,33,185,1.83,4,2,0,0,23,8,0,0
,Andre Petroski,31,185,1.83,4,0,0,0,9,1,0,0
,Cody Brundage,29,185,1.83,2,5,0,0,8,4,0,0
,Albert Duraev,34,185,1.8,2,1,0,0,16,4,0,0
14,Chris Curtis,35,185,1.78,4,2,0,0,30,10,0,0
1,Alex Pereira,35,185,1.93,4,1,0,0,7,2,0,0
,Chidi Njokuani,34,185,1.91,2,2,0,0,22,9,0,1
,Tresean Gore,28,185,1.83,1,2,0,0,4,2,0,0
,AJ Dobson,31,185,1.85,0,2,0,0,6,2,0,0
,Armen Petrosyan,32,185,1.91,2,1,0,0,7,2,0,0
,Aliaskhab Khizriev,32,185,1.75,1,0,0,0,14,0,0,0
,Denis Tiuliulin,35,185,1.85,1,2,0,0,10,7,0,1
,Josh Fremd,29,185,1.93,1,2,0,0,10,4,0,0
,Caio Borralho,30,185,1.78,4,0,0,0,14,1,0,1
,Abusupiyan Magomedov,32,185,1.88,1,0,0,0,25,4,1,0
,Joseph Pyfer,26,185,1.88,2,0,0,0,11,2,0,0
,Claudio Ribeiro,30,185,1.85,1,1,0,0,11,3,0,0
,Brunno Ferreira,30,185,1.78,1,0,0,0,10,0,0,0
,Bo Nickal,27,185,1.85,1,0,0,0,4,0,0,0
,Sedriques Dumas,27,185,1.88,0,1,0,0,7,1,0,0
