ranking,name,age,weight,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
14,Chris Gutierrez,32,135,1.73,7,2,1,0,19,5,2,0
,Mario Bautista,29,135,1.75,6,2,0,0,12,2,0,0
,Casey Kenney,32,135,1.7,5,3,0,0,16,4,1,0
,Alateng Heili,31,135,1.68,4,1,1,0,16,8,2,0
,Miles Johns,29,135,1.7,4,2,0,0,13,2,0,0
,Kyler Phillips,27,135,1.73,4,1,0,0,10,2,0,0
,John Castaneda,31,135,1.7,3,2,0,0,20,6,0,0
,Johnny Munoz Jr,30,135,1.75,2,3,0,0,12,3,0,0
13,Adrian Yanez,29,135,1.7,5,1,0,0,16,4,0,0
11,Umar Nurmagomedov,27,135,1.73,4,0,0,0,16,0,0,0
,Sergey Morozov,33,135,1.68,3,2,0,0,19,5,0,0
,Ronnie Lawrence,30,135,1.73,2,1,0,0,8,2,0,0
,Aori Qileng,29,135,1.7,2,3,0,0,24,10,0,0
,Ricky Turcios,30,135,1.75,2,1,0,0,12,3,0,0
,Brady Hiestand,24,135,1.73,2,1,0,0,7,2,0,0
,Saimon Oliveira,32,135,1.68,0,2,0,0,18,5,0,0
,Victor Henry,36,135,1.7,2,1,0,0,23,6,0,0
,Christian Rodriguez,25,135,1.7,2,1,0,0,9,1,0,0
,Chad Anheliger,36,135,1.68,1,1,0,0,12,6,0,0
,Javid Basharat,27,135,1.75,3,0,0,0,14,0,0,0
,Daniel Santos,28,135,1.7,2,1,0,0,11,2,0,0
,Fernie Garcia,31,135,1.7,0,2,0,0,10,3,0,0
,Da'Mon Blackshear,28,135,1.78,1,1,1,0,13,5,1,0
,Cristian Quinonez,27,135,1.73,1,0,0,0,18,3,0,0
,Cameron Saaiman,22,135,1.73,2,0,0,0,8,0,0,0
,Steven Koslow,26,135,1.7,0,1,0,0,6,1,0,0
,Raul Rosas Jr,18,135,1.75,1,1,0,0,7,1,0,0
,Mateus Mendonca,24,135,1.68,0,1,0,0,10,1,0,0
,Daniel Marcos,30,135,1.7,1,0,0,0,14,0,0,0
,Luan Lacerda,30,135,1.7,0,2,0,0,12,3,0,0
,Rinya Nakamura,28,135,1.7,1,0,0,0,7,0,0,0
,Toshiomi Kazama,26,135,1.7,0,1,0,0,10,3,0,0
,Farid Basharat,25,135,1.73,1,0,0,0,10,0,0,0
,Gaston Bolanos,30,135,1.7,1,0,0,0,7,3,0,0
,Marcus McGhee,33,135,1.73,1,0,0,0,7,1,0,0
,Muin Gafurov,27,135,1.7,0,1,0,0,18,5,0,0
11,Tim Elliott,36,125,1.7,8,10,0,0,18,13,1,0
6,Matheus Nicolau,30,125,1.68,7,2,0,0,19,3,1,0
0,Brandon Moreno,29,125,1.7,10,3,2,0,21,6,2,0
8,Matt Schnell,33,125,1.73,6,5,0,1,16,8,0,1
2,Alexandre Pantoja,33,125,1.65,9,3,0,0,25,5,0,0
1,Deiveson Figueiredo,35,125,1.65,10,3,1,0,21,3,1,0
7,Alex Perez,30,125,1.63,6,3,0,0,24,7,0,0
13,Su Mudaerji,27,125,1.73,3,2,0,0,16,5,0,0
5,Kai Kara-France,30,125,1.65,7,4,0,0,24,11,0,1
,Tyson Nam,39,125,1.7,3,4,0,0,21,13,1,0
15,Bruno Gustavo da Silva,33,125,1.63,3,2,0,1,13,5,2,1
,Ode' Osbourne,31,125,1.7,4,3,0,0,12,5,0,1
10,David Dvorak,31,125,1.65,3,3,0,0,20,6,0,0
4,Brandon Royval,30,125,1.7,5,2,0,0,15,6,0,0
,Zhalgas Zhumagulov,34,125,1.63,1,5,0,0,14,8,0,0
,Malcolm Gordon,33,125,1.7,2,4,0,0,14,7,0,0
3,Amir Albazi,29,125,1.65,5,0,0,0,17,1,0,0
,Cody Durden,32,125,1.7,4,2,1,0,15,4,1,0
,Nate Maness,31,125,1.78,3,2,0,0,14,3,0,0
14,Tagir Ulanbekov,29,125,1.68,3,1,0,0,14,2,0,0
,Jimmy Flick,32,125,1.7,1,1,0,0,16,6,0,0
9,Manel Kape,29,125,1.65,3,2,0,0,18,6,0,0
,JP Buys,27,125,1.65,0,3,0,0,9,5,0,0
,Jeff Molina,25,125,1.68,3,0,0,0,11,2,0,0
,Juancamilo Ronderos,28,125,1.63,0,2,0,0,4,2,0,0
,Daniel da Silva,27,125,1.68,0,4,0,0,11,5,0,0
,Allan Nascimento,31,125,1.75,2,1,0,0,20,6,0,0
,CJ Vergara,31,125,1.68,2,2,0,0,11,4,1,0
,Denys Bondar,30,125,1.68,0,1,0,0,16,4,0,0
,Victor Altamirano,32,125,1.73,2,2,0,0,12,2,0,0
,Carlos Hernandez,29,125,1.73,1,1,0,0,8,2,0,0
12,Muhammad Mokaev,22,125,1.75,4,0,0,0,10,0,0,1
,Kleydson Rodrigues,27,125,1.68,1,1,0,0,8,2,0,0
,Carlos Candelario,32,125,1.73,0,2,0,0,8,3,0,0
,Tatsuro Taira,23,125,1.7,3,0,0,0,13,0,0,0
,Jake Hadley,26,125,1.7,2,1,0,0,10,1,0,0
,Charles Johnson,32,125,1.75,2,3,0,0,13,5,0,0
,Alessandro Costa,27,125,1.63,0,1,0,0,12,3,0,0
,Jesus Santos Aguilar,27,125,1.63,0,1,0,0,8,2,0,0
,Park Hyun-sung,27,125,1.7,1,0,0,0,8,0,0,0
,Shannon Ross,34,125,1.68,0,1,0,0,13,7,0,0
,Clayton Carpenter,27,125,1.68,1,0,0,0,7,0,0,0
,Jafel Filho,30,125,1.7,0,1,0,0,14,3,0,0
,Vinicius de Almeida Salvador,26,125,1.7,0,1,0,0,14,5,0,0
,Stephen Erceg,27,125,1.73,1,0,0,0,10,1,0,0
9,Karol Rosa,28,145W,1.7,5,2,0,0,16,5,0,0
,Zarah Fairn Dos Santos,36,145W,1.78,0,3,0,0,6,5,0,0
13,Norma Dumont,32,145W,1.7,5,2,0,0,9,2,0,0
,Josiane Nunes,29,145W,1.57,3,0,0,0,10,1,0,0
,Ailin Perez,28,145W,1.65,0,1,0,0,7,2,0,0
,Danyelle Wolf,39,145W,1.8,0,1,0,0,1,1,0,0
,Germaine de Randamie,39,135W,1.75,8,3,0,0,10,4,0,0
1,Julianna Pena,33,135W,1.7,7,3,0,0,11,5,0,0
2,Raquel Pennington,34,135W,1.7,12,7,0,0,15,8,0,0
,Ashlee Evans-Smith,35,135W,1.73,3,5,0,0,6,5,0,0
3,Holly Holm,41,135W,1.73,8,6,0,0,15,6,0,0
4,Ketlen Vieira,31,135W,1.73,7,3,0,0,13,3,0,0
5,Irene Aldana,35,135W,1.75,7,5,0,0,14,7,0,0
,Lucie Pudilova,28,135W,1.73,3,6,0,0,14,8,0,0
,Priscila Cachoeira,34,135W,1.7,4,4,0,0,12,4,0,0
,Yana Santos,33,135W,1.68,4,4,0,0,14,7,0,1
10,Mayra Bueno Silva,31,135W,1.68,5,2,1,0,10,2,1,0
8,Macy Chiasson,31,135W,1.75,6,3,0,0,8,3,0,0
7,Pannie Kianzad,31,135W,1.7,5,3,0,0,16,6,0,0
,Julija Stoliarenko,30,135W,1.7,1,5,0,0,10,7,2,0
12,Julia Avila,35,135W,1.7,3,1,0,0,9,2,0,0
,Stephanie Egger,34,135W,1.7,3,3,0,0,8,4,0,0
,Joselyne Edwards,27,135W,1.68,4,2,0,0,13,4,0,0
,Chelsea Chandler,29,135W,1.73,1,0,0,0,5,1,0,0
,Tamires Vidal,24,135W,1.68,1,0,0,0,7,1,0,0
,Hailey Cowan,31,135W,1.73,0,1,0,0,7,3,0,0
,Jamey-Lyn Horth,33,135W,1.7,1,0,0,0,6,0,0,0
,Irina Alekseeva,32,135W,1.73,1,0,0,0,5,1,0,0
,Tainara Lisboa,32,135W,1.68,1,0,0,0,6,2,0,0
11,Miesha Tate,36,125W,1.68,12,8,0,0,19,9,0,0
7,Lauren Murphy,39,125W,1.7,8,6,0,0,16,6,0,0
,Joanne Wood,37,125W,1.68,8,8,0,0,16,8,0,0
,Maryna Moroz,31,125W,1.7,6,4,0,0,11,4,0,0
,Cortney Casey,36,125W,1.7,6,9,0,0,10,10,0,0
1,Valentina Shevchenko,35,125W,1.65,12,3,0,0,23,4,0,0
10,Tatiana Suarez,32,125W,1.65,6,0,0,0,9,0,0,0
6,Katlyn Chookagian,34,125W,1.75,11,5,0,0,18,5,0,0
,Veronica Hardy,27,125W,1.63,2,4,0,0,7,4,1,0
0,Alexa Grasso,29,125W,1.65,8,3,0,0,16,3,0,0
,JJ Aldrich,30,125W,1.65,7,5,0,0,11,6,0,0
,Montana De La Rosa,28,125W,1.7,5,4,1,0,12,8,1,0
13,Andrea Lee,34,125W,1.68,5,5,0,0,13,7,0,0
,Molly McCann,33,125W,1.63,6,4,0,0,13,5,0,0
8,Jennifer Maia,34,125W,1.63,6,5,0,0,21,9,1,0
11,Maycee Barber,25,125W,1.7,7,2,0,0,12,2,0,0
,Antonina Shevchenko,38,125W,1.73,4,4,0,0,10,4,0,0
,Ariane Lipski,29,125W,1.68,4,5,0,0,15,8,0,0
3,Taila Santos,29,125W,1.65,4,2,0,0,19,2,0,0
10,Viviane Araujo,36,125W,1.65,5,4,0,0,11,5,0,0
,Luana Carolina,30,125W,1.7,3,3,0,0,8,4,0,0
11,Amanda Ribas,29,125W,1.63,6,2,0,0,11,3,0,0
9,Amanda Ribas,29,125W,1.63,6,2,0,0,11,3,0,0
,Hannah Goldy,31,125W,1.63,1,3,0,0,6,3,0,0
,Hannah Goldy,31,115W,1.63,1,2,0,0,6,2,0,0
14,Tracy Cortez,29,125W,1.65,4,0,0,0,10,1,0,0
,Mariya Agapova,26,125W,1.68,2,3,0,0,10,4,0,0
15,Miranda Maverick,25,125W,1.6,4,3,0,0,11,5,0,0
,Victoria Leonardo,33,125W,1.65,1,3,0,0,9,5,0,0
2,Manon Fiorot,33,125W,1.7,5,0,0,0,10,1,0,0
12,Casey O'Neill,25,125W,1.68,4,1,0,0,10,1,0,0
,Melissa Gatto,27,125W,1.65,2,1,0,0,8,1,2,0
4,Erin Blanchfield,24,125W,1.63,5,0,0,0,11,1,0,0
,Mandy Bohm,33,125W,1.7,1,2,0,0,8,2,0,1
,Jasmine Jasudavicius,34,125W,1.7,3,1,0,0,9,2,0,0
,Karine Silva,29,125W,1.65,2,0,0,0,16,4,0,0
,Natalia Silva,26,125W,1.63,3,0,0,0,15,5,1,0
,Juliana Miller,27,125W,1.7,1,1,0,0,3,2,0,0
,Tereza Bleda,21,125W,1.75,0,1,0,0,6,1,0,0
,Gabriella Fernandes,29,125W,1.68,0,1,0,0,8,2,0,0
,Ketlen Souza,27,125W,1.6,0,1,0,0,13,4,0,0
5,Jessica Andrade,31,115W,1.57,15,9,0,0,24,11,0,0
5,Jessica Andrade,31,115W,1.57,15,9,0,0,24,11,0,0
1,Carla Esparza,35,115W,1.55,10,5,0,0,19,7,0,0
2,Rose Namajunas,30,115W,1.65,9,4,0,0,11,5,0,0
,Jessica Penne,40,115W,1.65,3,5,0,0,14,7,0,0
9,Tecia Torres,33,115W,1.55,9,6,0,0,13,6,0,0
14,Angela Hill,36,115W,1.6,10,13,0,0,15,13,0,0
12,Michelle Waterson,37,115W,1.6,6,7,0,0,18,11,0,0
,Karolina Kowalkiewicz,37,115W,1.6,8,7,0,0,15,7,0,0
,Ashley Yoder,35,115W,1.7,3,8,0,0,8,8,0,0
4,Amanda Lemos,36,115W,1.63,7,2,0,0,13,2,1,0
3,Yan Xiaonan,33,115W,1.65,8,2,0,0,17,3,0,1
,Gillian Robertson,28,115W,1.57,9,5,0,0,12,7,0,0
,Polyana Viana,30,115W,1.7,4,4,0,0,13,5,0,0
7,Mackenzie Dern,30,115W,1.6,8,3,0,0,13,3,0,0
0,Zhang Weili,33,115W,1.6,7,2,0,0,23,3,0,0
8,Marina Rodriguez,36,115W,1.7,6,3,2,0,16,3,2,0
6,Virna Jandiroba,35,115W,1.6,5,3,0,0,19,3,0,0
,Brianna Fortino,29,115W,1.5,1,1,0,0,9,3,0,0
,Mizuki Inoue,28,115W,1.63,1,1,0,0,14,6,0,0
,Ariane Carnelossi,30,115W,1.57,2,2,0,0,14,3,0,0
,Diana Belbita,26,115W,1.7,2,3,0,0,15,7,0,0
,Loma Lookboonmee,27,115W,1.55,5,2,0,0,8,3,0,0
,Jinh Yu Frey,38,115W,1.57,2,5,0,0,11,9,0,0
,Kanako Murata,29,115W,1.55,1,1,0,0,12,2,0,0
,Cory McKenna,23,115W,1.6,3,1,0,0,8,2,0,0
,Sam Hughes,30,115W,1.65,3,4,0,0,8,5,0,0
,Montserrat Ruiz,30,115W,1.52,1,1,0,0,10,2,0,0
,Cheyanne Vlismas,27,115W,1.6,2,2,0,0,7,3,0,0
,Lupita Godinez,29,115W,1.57,5,3,0,0,10,3,0,0
,Na Liang,26,115W,1.65,0,2,0,0,15,6,0,0
13,Luana Pinheiro,29,115W,1.57,3,0,0,0,11,1,0,0
15,Tabatha Ricci,28,115W,1.55,3,1,0,0,8,1,0,0
,Elise Reed,30,115W,1.6,3,3,0,0,7,3,0,0
,Vanessa Demopoulos,34,115W,1.57,3,2,0,0,9,5,0,0
,Istela Nunes,30,115W,1.63,0,3,0,0,6,4,0,1
,Maria Oliveira,26,115W,1.65,1,3,0,0,13,7,0,0
,Piera Rodriguez,30,115W,1.6,2,1,0,0,9,1,0,0
,Emily Ducote,29,115W,1.57,1,2,0,0,12,8,0,0
,Brogan Walker-Sanchez,33,115W,1.63,0,2,0,0,7,4,0,0
,Yazmin Jauregui,24,115W,1.6,2,0,0,0,10,0,0,0
,Iasmin Lucindo,21,115W,1.6,1,1,0,0,14,5,0,0
,Melissa Martinez,25,115W,1.57,0,1,0,0,7,1,0,0
,Denise Gomes,23,115W,1.65,1,1,0,0,7,2,0,0
,Jaqueline Amorim,27,115W,1.6,0,1,0,0,6,1,0,0
,Bruna Brasil,29,115W,1.68,0,1,0,0,8,3,1,0
